"","rt_between","degree"
"justinepepp @DunedinNZ @GovHackNZ",0,3
"iBadawi @GovHackParra @CollaboratoryAU",0,1
"NicDenElzen",0,1
"bubuwuena",0,1
"justinepepp @clarecurranmp",0,2
"markjohnssy",0,1
"SpatialGirl",0,1
"aussielunix",0,1
"RCCUQ",0,1
"keithbaldry",0,1
"DIHubNT",0,1
"MarcusMapMaker",0,1
"YourFutureSA",0,1
"metaduck101",0,1
"careering9",0,1
"silverdeltaMD",0,1
"MiramarMike",0,1
"clarecurranmp",0,1
"five15design",0,1
"dallmitc",0,1
"EITHB",0,1
"DrRimmer",0,1
"QUT_IP",0,1
"ACSWAofficial",0,2
"mvkennelly",0,7
"SerrynEagleson",0,1
"GovhackBallarat @govhackau",0,3
"krisgesling",0,1
"ChrisSteelMLA",0,1
"cinalandli1982",0,1
"TheGossamerFile",0,7
"spinacwabar1973",0,1
"thewillymac",211,2
"BritniBolton5",0,1
"SandyBurgoyne",0,1
"communityep",0,1
"KidsWantu",0,1
"aaDHumanities",0,1
"aetheriostenshi",0,2
"twitterapi",0,2
"KelliArroyo7",0,1
"rob_gc",0,1
"CGSFoundation",0,1
"GovHackAU @sensingtasmania @GovHackTas",0,1
"servicedesignbt",0,2
"AnnaGurnhill",0,1
"Mahsabanoo",0,1
"CBR_IN",0,1
"verbman",0,1
"IanTLS",0,1
"congtimensi1983",0,1
"tunza81",0,1
"HeidiHasting",0,2
"SHYJohnjohn",0,1
"realisecanberra",0,1
"376b78fc7223",0,1
"Oz_g3n1u5",0,2
"dmatthewsact",0,1
"PeteSteelePT",0,1
"taniaparkes",0,1
"govhack_sa @techfugeesaust1 @Ganjm001",0,1
"StartFutureNow",0,1
"598pt41",0,1
"GovHackGeelong",0,4
"stringy",0,1
"HelenAnstis",0,1
"ivyclark",0,2
"votingnz",0,1
"nzretweet",0,2
"nzcharities",0,1
"MyriadLive",0,1
"Rinilot",0,1
"ldundas96",0,1
"tahacbobsre1976",0,1
"theultimateron",0,1
"ClaireBelly",0,1
"BesITsystems",0,1
"colfai",0,1
"webkey_it",0,2
"terrybrett",0,1
"tiggsy60",0,1
"r3dux",0,1
"scottisue",0,1
"twitterapi
@GovHackAU",0,2
"hls_software",0,1
"RHoKAustralia",0,1
"AEL_DeanR",0,1
"servantofchaos",0,1
"tonystevenson",0,1
"MrAlexar",0,1
"DavidRo73326806",0,1
